datetime,open,high,low,close,volume
2025-12-08T00:00:00,452.25,454.25,450.0,451.25,23612
2025-12-09T00:00:00,451.25,456.25,451.25,455.5,21271
2025-12-10T00:00:00,455.5,456.5,451.0,451.75,13198
2025-12-11T00:00:00,451.75,455.25,451.5,454.25,16304
2025-12-12T00:00:00,454.0,454.75,448.5,448.75,20247
2025-12-15T00:00:00,448.5,449.25,444.75,447.5,24866
2025-12-16T00:00:00,447.5,448.0,443.5,444.0,19480
2025-12-17T00:00:00,444.0,448.75,444.0,448.0,19578
2025-12-18T00:00:00,448.0,453.5,448.0,451.75,30966
2025-12-19T00:00:00,451.25,452.75,450.5,451.0,18332
2025-12-22T00:00:00,451.0,455.25,450.5,454.25,17752
2025-12-23T00:00:00,454.0,456.25,453.75,455.0,21413
2025-12-24T00:00:00,454.75,459.25,454.75,458.5,10675
2025-12-29T00:00:00,458.25,459.0,450.25,450.75,18385
2025-12-30T00:00:00,450.5,451.25,448.0,448.25,14570
2025-12-31T00:00:00,448.25,450.5,447.0,448.75,14398
2026-01-02T00:00:00,448.5,448.75,444.5,445.0,20500
2026-01-05T00:00:00,445.0,453.0,444.25,452.0,20985
2026-01-06T00:00:00,451.5,454.5,450.75,451.0,19748
2026-01-07T00:00:00,451.0,454.5,451.0,453.75,20331
2026-01-08T00:00:00,453.5,455.75,452.75,453.25,18797
2026-01-09T00:00:00,453.25,455.25,452.0,453.25,23093
2026-01-12T00:00:00,453.25,456.75,429.0,430.5,81471
2026-01-13T00:00:00,430.75,431.25,426.25,427.75,44223
2026-01-14T00:00:00,428.0,432.75,427.5,430.0,35217
2026-01-16T00:00:00,427.75,434.25,427.25,432.5,29252
2026-01-20T00:00:00,431.5,433.0,430.0,431.5,22619
2026-01-21T00:00:00,431.25,435.5,429.5,429.75,21742
2026-01-22T00:00:00,430.25,432.5,429.5,432.25,20667
2026-01-23T00:00:00,431.75,439.0,431.25,438.5,35427
2026-01-26T00:00:00,437.75,439.25,435.25,436.25,20554
2026-01-27T00:00:00,436.25,437.75,434.25,434.75,20027
2026-01-28T00:00:00,435.0,440.75,434.75,438.5,25956
2026-01-29T00:00:00,437.75,441.75,436.5,439.0,25659
2026-01-30T00:00:00,438.5,439.5,433.25,436.25,28064
2026-02-02T00:00:00,436.25,436.25,431.75,433.25,22443
2026-02-03T00:00:00,433.25,436.75,433.25,436.5,25067
2026-02-04T00:00:00,435.75,440.5,433.0,436.25,41883
2026-02-05T00:00:00,436.25,443.5,434.5,443.25,36306
2026-02-06T00:00:00,442.0,443.75,437.25,439.25,43654
2026-02-09T00:00:00,437.5,438.25,435.5,437.0,37540
2026-02-10T00:00:00,436.5,439.0,436.25,437.25,39725
2026-02-11T00:00:00,437.0,438.0,434.0,437.0,41977
2026-02-12T00:00:00,436.75,442.0,436.25,441.5,66786
2026-02-13T00:00:00,441.0,442.75,439.75,441.75,53388
2026-02-17T00:00:00,441.0,441.25,435.25,436.0,68347
2026-02-18T00:00:00,435.5,438.0,435.25,436.5,60712
2026-02-19T00:00:00,436.5,437.75,434.25,436.5,68620
2026-02-20T00:00:00,436.0,440.25,435.25,440.0,115702
2026-02-23T00:00:00,439.0,445.0,437.75,440.75,123526
2026-02-24T00:00:00,440.0,441.0,437.25,439.0,92745
2026-02-25T00:00:00,438.5,442.75,438.0,442.0,107978
2026-02-26T00:00:00,441.0,445.75,440.25,443.75,164309
2026-02-27T00:00:00,443.0,450.0,442.0,448.25,181339
2026-03-02T00:00:00,451.0,452.5,443.5,445.25,167709
2026-03-03T00:00:00,445.75,451.75,444.25,446.25,160372
2026-03-04T00:00:00,446.0,447.0,440.25,443.75,118280
2026-03-05T00:00:00,442.5,454.5,442.5,453.5,191139
2026-03-06T00:00:00,452.75,462.0,452.25,460.75,251561
2026-03-09T00:00:00,464.0,476.0,453.0,453.25,315549
2026-03-10T00:00:00,450.0,454.0,445.5,453.75,211508
2026-03-11T00:00:00,453.25,462.0,451.5,460.5,180114
2026-03-12T00:00:00,462.5,469.5,461.0,462.0,199001
2026-03-13T00:00:00,462.25,467.5,458.5,467.0,138392
2026-03-17T00:00:00,453.75,459.0,449.25,454.5,153884
2026-03-18T00:00:00,454.75,464.5,451.5,463.5,139867
2026-03-19T00:00:00,463.25,470.0,463.25,470.0,157339
2026-03-20T00:00:00,469.0,469.25,464.0,466.25,111268
2026-03-23T00:00:00,465.25,473.75,456.5,460.5,195207
2026-03-24T00:00:00,460.0,465.75,459.0,462.25,114864
2026-03-25T00:00:00,461.25,468.5,458.0,467.5,104207
